food_id,Menu,Ingredient,Amount_g,식품코드,영양성분함량기준량,에너지(kcal),탄수화물(g),당류(g),식이섬유(g),단백질(g),지방(g),포화지방(g),나트륨(mg),칼슘(mg),콜레스테롤,칼륨(mg)
C12030007201,가지굴소스볶음_다지기,굴소스,4,P113-206020400-0041,100,219,52.08,9.21,0,2.49,0.05,0.02,4608,12,0,138
C12030007201,가지굴소스볶음_다지기,식용유,3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C12030007201,가지굴소스볶음_다지기,진간장,4,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
A040300056,야채죽_갈아서,진간장,4,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
B05090003802,들깨무채국_국물만,육수,250,DB 없음,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C12020063702,제육볶음_갈아서,고추장,7,P112-010001000-0005,100,205,51.76,21.84,5.2,3.66,1.38,0.32,2486,25,0,422
C12020063702,제육볶음_갈아서,식용유(볶음용),3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C12020063702,제육볶음_갈아서,진간장,5,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
C12030007202,가지굴소스볶음_갈아서,굴소스,4,P113-206020400-0041,100,219,52.08,9.21,0,2.49,0.05,0.02,4608,12,0,138
C12030007202,가지굴소스볶음_갈아서,식용유,3,P107-101010100-0023,100,828,0,0,,0,92,15,0,,0,
C12030007202,가지굴소스볶음_갈아서,진간장,4,P112-004000400-0041,100,103,16.54,0,0.8,9.15,0,0,4783,25,0,480
